"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1" "dss.semnig1" "dss.semnig2" "dss.semnig3" "dss.lasso1" "dss.ridge1" "dss.ridge2" "dss.ridge3"
"pmse.drug1" 0.694792204845813 0.695215732873328 0.696086112786671 0.709040082117431 0.69183830266328 0.691727960148165 0.702364012555807 0.711571022089179 0.860314810704066 0.879145509542715 0.703070949221221 0.712844849452489 0.864072583205546
"pmse.drug2" 0.772932958298703 0.772328226872528 0.787557698256126 0.838886407176615 0.773912734343935 0.790590936746019 0.77318300939923 0.843821633226354 0.921401949885984 0.905352818238789 0.792524804080355 0.847361173210956 0.903749812535923
"pmse.drug3" 0.900267244685041 0.902224350210957 0.986035414164035 0.902334647721513 0.97797675933099 0.983947384915078 0.905042365371989 0.965737967854376 0.894500946051111 0.864445028887134 0.988778594953513 0.975 0.973411762571011
"pmse.drug4" 0.707865515940736 0.70768560670094 0.754921631345284 0.753455204207026 0.731896819155639 0.745897055909718 0.701579818475106 0.766486060715489 0.789822106760033 0.79610432995542 0.755779017128675 0.791113182084724 0.820906304125195
"pmse.drug5" 0.522013240341156 0.525018874279849 0.542231232033824 0.514412184794308 0.524116090690784 0.530850980124387 0.522374938592591 0.545270015843968 0.616889831373409 0.640194143166904 0.544188056212845 0.564842429310144 0.636203014609232
"pmse.drug6" 0.770260120983356 0.770229828793339 0.75446425892803 0.820603291535101 0.766514615863142 0.755121019671489 0.77211139011345 0.78619153833624 0.893962471252144 0.879506808967222 0.754325717244571 0.783314173248413 0.871743026505464
"pmse.drug7" 0.683519608669418 0.683575271537309 0.680552333897148 0.669175971254359 0.683553893431656 0.680590693213146 0.680369699107053 0.675523835238715 0.818920254577587 0.832215045016773 0.680062303566435 0.692593591385258 0.836442278460535
"pmse.drug8" 0.645586488740885 0.64746616484238 0.694781018591265 0.597570117386916 0.711190028625806 0.693339275395683 0.647083169377728 0.605747458224849 0.613512617776334 0.62045485390305 0.698240071940464 0.65561175103155 0.655763890818809
"pmse.drug9" 0.952577846369565 0.952821942687531 0.937409855136767 0.918035238952493 0.940575616473749 0.938083488578096 0.933054761545791 0.917122464686804 0.921112665943479 0.936984474020847 0.931638393097261 0.921588799120039 0.930831235256
"pmse.drug10" 0.738309747451862 0.73929696820374 0.736098579378593 0.73769705675887 0.746803221540355 0.728005884019 0.730767274592248 0.733052049678737 0.801172403747043 0.817831024473559 0.730187766283581 0.74272234289084 0.805609451799958
