"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse1" 0.658547375302475 0.657709167289577 0.66700786396437 0.688174335702095 0.656870011912958 0.66958817861518
"pmse2" 0.766866201691398 0.766601283139013 0.765063981197991 0.769270591007821 0.763468289526951 0.766032029529898
"pmse3" 1.00706463973953 1.00757874138532 0.988589895702434 0.996846027417331 0.991080421856486 0.990121739260419
"pmse4" 0.895788909494593 0.895451264199429 0.891099427304589 0.974307859785293 0.893077555717163 0.892281802953814
"pmse5" 0.690608397252755 0.690598827352109 0.706873092289356 0.72279592752498 0.694735278671515 0.700587691161015
"pmse6" 0.735472777564849 0.735375684147033 0.741972840817129 0.777439825770801 0.734508539624662 0.738866680699245
"pmse7" 0.810793068131042 0.809954581931786 0.793050029532342 0.807406379633775 0.797692668345034 0.803830883406767
"pmse8" 0.789212335959734 0.788616851132879 0.789346743597528 0.806358580485998 0.786299564196856 0.790152987050357
"pmse9" 0.920346108692286 0.920870695021587 0.867930476795677 0.879846420189356 0.880996665673556 0.876856162915168
"pmse10" 0.799597750312787 0.800052180324395 0.770115498982071 0.78862038336354 0.778371247907983 0.773390638828533
"pmse11" 0.943680945293131 0.943400469635991 0.929392567970649 0.952009999662118 0.947722565991558 0.927277658848238
"pmse12" 0.809922632861631 0.811306033114663 0.794069660542485 0.828491710634114 0.827311096047679 0.786262424953389
"pmse13" 0.722127614519193 0.722535872712977 0.712602085775838 0.759277165662835 0.723057563975004 0.71163622794763
"pmse14" 0.903236844030322 0.902756544956871 0.879042618257831 0.893848058989011 0.885229940591868 0.892174799453506
"pmse15" 0.756501769318468 0.757229527142906 0.754764380126178 0.778660076589537 0.775331853092978 0.755797636881673
"pmse16" 0.708593683874103 0.705083328517348 0.711616958053984 0.720395127612009 0.718236156525178 0.741206404070291
"pmse17" 0.857169694703377 0.856954020815712 0.837759936331826 0.885241720181734 0.853327555779954 0.844194103198462
"pmse18" 0.810771760610927 0.81165700004754 0.799628708843348 0.82743765551158 0.855777761029493 0.799767497314557
"pmse19" 0.776404151962798 0.775745803822739 0.775339646367919 0.799770658703873 0.772444423029919 0.778490510708365
"pmse20" 0.841330281265651 0.840950322405072 0.823171454434851 0.848573440965832 0.824072560356142 0.833377283146203
"pmse21" 0.843806764627407 0.844416961092976 0.833131105074604 0.838021105394148 0.833533307195554 0.831779812286141
"pmse22" 0.95183623638187 0.949709120542087 0.924714459361133 0.935165190718682 0.953943729440596 0.935308143718808
"pmse23" 0.967340793610558 0.96710137411513 0.956555644905574 0.994974874371859 0.95792256580722 0.958057554197057
"pmse24" 0.834330346788641 0.833588900490817 0.833489179304799 0.855919774097401 0.823213785114985 0.838542375080493
"pmse25" 0.693132879028607 0.693886372754311 0.675900988509825 0.677404671585566 0.693165663740995 0.672840411390867
"pmse26" 0.913859681518269 0.913064477416841 0.901473485905357 0.866123009694261 0.898024253725836 0.915962534426237
"pmse27" 0.674348880750332 0.672972925082222 0.68668844809793 0.701563611683577 0.672786535426023 0.691565799748995
"pmse28" 0.71170186679602 0.71225097966984 0.698782948303493 0.700968583721903 0.711262072177573 0.697904755455364
"pmse29" 0.999544394302871 0.999905100153775 0.95291970123812 0.995 0.962339982316363 0.955918960409868
"pmse30" 0.935123573873759 0.935440906085314 0.924501255592484 0.953281337153319 0.93274572558383 0.929512118936701
"pmse31" 0.930967143336003 0.931476940142582 0.920818830381594 0.946331867820939 0.925523207292852 0.922165865629733
"pmse32" 0.862249250775066 0.864083999323576 0.856668536948164 0.860450325906862 0.866610933377325 0.846878044105023
"pmse33" 0.744742500393126 0.744400526667519 0.75834247196218 0.799753158729515 0.746805332795089 0.757987816051934
"pmse34" 0.904631857285747 0.904037738037536 0.900445726958683 0.927719536489818 0.905974145059336 0.906906622463288
"pmse35" 0.670847864723168 0.670885000728796 0.65904932251631 0.679913957951975 0.666856854754134 0.660138180581911
"pmse36" 0.797653206879704 0.795364542367592 0.786770133550889 0.850251566732855 0.814133808735698 0.805240000502577
"pmse37" 0.86271695955219 0.86153614114335 0.842750265776072 0.858561986849939 0.839010360755946 0.854775013660422
"pmse38" 0.847001875584412 0.848409610914182 0.833746270388319 0.830349922687052 0.85557438458697 0.827669679063676
"pmse39" 0.879388744841287 0.877303556702464 0.871242852911958 0.908840220829207 0.871466113984295 0.887410897360079
"pmse40" 0.863654152747379 0.863308067363539 0.880666214612918 0.908080005924698 0.866210176818666 0.877387818155549
"pmse41" 0.884605871327004 0.885235611541326 0.866565398034332 0.891508684045419 0.88838178979539 0.866151554352172
"pmse42" 0.824383602179817 0.823449158309512 0.83677156970471 0.852483522437463 0.851208570415908 0.833349088847077
"pmse43" 0.962650290949889 0.962438043618606 0.954105354391832 0.974683274980961 0.953842434338488 0.950729871336934
"pmse44" 0.826600702115826 0.824654212854833 0.816493065506868 0.865775012837302 0.81751674641554 0.829864383268255
"pmse45" 0.694223534905108 0.692915402711839 0.687923673712635 0.729315770899991 0.689951243612672 0.694778013404017
"pmse46" 0.791107064398719 0.787858594706373 0.794717918284883 0.760347074923742 0.777261806251641 0.815710874832215
"pmse47" 0.880175913569075 0.879345559814209 0.873345140404227 0.923386592088458 0.884278391108161 0.882357103371341
"pmse48" 0.773009744076742 0.772263767298968 0.77113231774665 0.761924065692041 0.767824995698611 0.774726154734356
"pmse49" 0.969308399358628 0.967672506118704 0.933019524257611 0.971557418774631 0.952439197533072 0.956856140557952
"pmse50" 0.765368979355706 0.765468810001417 0.788657542927112 0.857575981041052 0.779659614001861 0.775101023324731
"pmse51" 0.802591967234698 0.802730727916597 0.792143664492755 0.829520218901334 0.794667806566995 0.792542215731818
"pmse52" 0.720656750203114 0.720418212284072 0.734844119067872 0.719558396827469 0.72429633950148 0.735306648986326
