"semnig2" "lasso1" "dss.semnig2"
"pmse.drug1" 0.726857900276994 0.759350815501609 0.745153154132409
"pmse.drug2" 0.535968687951873 0.573215633853164 0.573124315469364
"pmse.drug3" 1.05594995368936 1.06323871298815 1.0255723895407
"pmse.drug4" 0.732065451039135 0.818684971481454 0.796491570323119
"pmse.drug5" 0.679202433102504 0.759366959869033 0.744753336424187
"pmse.drug6" 0.652835355878877 0.671498950954967 0.668156086512449
"pmse.drug7" 0.746854711520026 0.775436975794772 0.755306488911012
"pmse.drug8" 0.696266137241379 0.679764843082717 0.693677950030035
"pmse.drug9" 0.985619990830731 0.962405330954777 0.966463118945462
"pmse.drug10" 0.74977069232933 0.754471362643372 0.754856196830785
"pmse.drug11" 0.911897523340537 0.931033482148952 0.934432334529079
"pmse.drug12" 0.705150124546074 0.738823435363846 0.719701721256368
"pmse.drug13" 0.828658399615703 0.816125528613234 0.816747174620213
"pmse.drug14" 0.816947941512918 0.8697949233453 0.879821403434041
"pmse.drug15" 0.854852656220322 0.946187417605485 0.876215207135392
"pmse.drug16" 0.653801869223418 0.744337575066632 0.702268350039347
"pmse.drug17" 0.726692975036577 0.780887095406074 0.778240214814274
"pmse.drug18" 0.705629452591135 0.764195977157148 0.760290861451985
"pmse.drug19" 0.768517404674174 0.783467882772492 0.744710892318816
"pmse.drug20" 0.679438637116024 0.730464889946098 0.734843671807949
"pmse.drug21" 0.939546600877402 0.893430955182118 0.891538308301446
"pmse.drug22" 0.91511303171797 0.906490629152345 0.899201507104232
"pmse.drug23" 1.13823128864609 1.08913532983065 1.06884973650813
"pmse.drug24" 0.821125695788889 0.843167712321029 0.83561254906326
"pmse.drug25" 0.627525462203556 0.628105966612413 0.631454227570093
"pmse.drug26" 0.888766838455658 0.848465519390711 0.846848977858052
"pmse.drug27" 0.59785807861321 0.622486637189648 0.613880975399185
"pmse.drug28" 1.00389126199962 0.952562261685652 0.946547601657468
"pmse.drug29" 0.86521686468312 0.881558091208209 0.888123394892896
"pmse.drug30" 0.910593320160282 0.88669215593257 0.891526042923392
"pmse.drug31" 0.819244672833693 0.864712752687169 0.773417616004871
"pmse.drug32" 0.853262872910752 0.912698112044322 0.834603980831137
"pmse.drug33" 0.877553273056647 0.909573541210596 0.900506054021259
"pmse.drug34" 0.560592221740121 0.622258447882234 0.617557835593467
"pmse.drug35" 0.728753729424262 0.731783997528411 0.70798175994071
"pmse.drug36" 0.939546857491794 0.948729221447152 0.923459290907208
"pmse.drug37" 0.760378693229231 0.785148475259798 0.759884425405445
"pmse.drug38" 0.926842828432359 0.929672345884834 0.924074508892601
"pmse.drug39" 0.877555149929342 0.891625157823161 0.880980090466142
"pmse.drug40" 0.975706858529413 0.978855738585149 0.958995941961363
"pmse.drug41" 0.754930833787425 0.805207330172137 0.803681565288279
"pmse.drug42" 0.86584794347876 0.945960766619361 0.935850399897247
"pmse.drug43" 0.701973281856896 0.724857269005079 0.73712679475456
"pmse.drug44" 0.668638394789959 0.726299561063244 0.722532506123971
"pmse.drug45" 0.636051234021867 0.653698674854073 0.674095253203186
"pmse.drug46" 0.811300161689594 0.819963614333796 0.828190746526943
"pmse.drug47" 0.647779030949435 0.642157888583715 0.650175983910306
"pmse.drug48" 0.951929162702199 0.976906251935326 0.962543090464891
"pmse.drug49" 0.703071649106302 0.810509680256496 0.788208740809919
"pmse.drug50" 0.880832446113338 0.904664280312536 0.902256631051083
"pmse.drug51" 0.745416556536904 0.766128780701996 0.772159603116585
"pmse.drug52" 0.776328757520004 0.829371868424629 0.851157316416675
"pmse.drug53" 0.638732482081513 0.642562728346554 0.655157261259273
"pmse.drug54" 0.671418030380179 0.711534997392309 0.686853367651667
"pmse.drug55" 0.889165856179411 0.866009810420559 0.85995388359578
"pmse.drug56" 0.792684500030547 0.809335469375449 0.808364992059489
"pmse.drug57" 0.854281224533703 0.887375371461898 0.88512357744857
"pmse.drug58" 0.639199173731582 0.669219428545258 0.666554252356529
"pmse.drug59" 0.762665823949198 0.83462357683991 0.832950976694436
"pmse.drug60" 0.803429530198615 0.812466066394609 0.803217706750887
