"NIG1" "NIG2" "NIG3" "NIG4" "NIG5" "lasso" "ridge" "null"
"pmse" 0.782791571794404 0.764627850220174 0.764586254491784 0.763588110722214 0.796148504280993 0.773222442637253 0.776801320260711 0.979591836734694
"pmse" 0.845277197433621 0.824677057175114 0.82477362542216 0.823319992356208 0.856317347956629 0.83772628010441 0.835319121683114 0.979591836734694
"pmse" 0.829532978729793 0.821189082614846 0.821029209467223 0.82317920888144 0.849557958913823 0.837891369652987 0.826504571938773 0.979166666666667
"pmse" 0.782707430234335 0.776866177038687 0.776910730018289 0.775373492712486 0.793451748738434 0.796081839326207 0.778826255861196 0.979166666666667
"pmse" 0.799061887302116 0.78892309967215 0.788869112712281 0.787473326158006 0.810825120349143 0.800532980206605 0.794381933608405 0.979166666666667
"pmse" 0.837524784105052 0.815803581673917 0.815739939719141 0.816000597376991 0.845360889465526 0.833367143130024 0.842715814037123 0.979166666666667
"pmse" 0.781111190279234 0.779482373779395 0.779365124448633 0.782654697758751 0.793209303420798 0.796314612677425 0.784016497310055 0.979166666666667
"pmse" 0.774436674261199 0.743534041072486 0.743406915254288 0.745710262074877 0.787888427466431 0.760571963289729 0.765291973100506 0.979166666666667
"pmse" 0.800768375190431 0.801283380736671 0.801023568282991 0.801783767104828 0.814902126131877 0.805840840338981 0.797237239145724 0.979166666666667
"pmse" 0.79800346040812 0.803322436933123 0.803506634272661 0.806091854234868 0.814449753108108 0.793882471294626 0.772867918165523 0.979166666666667
"elbo" -1055.62172128011 -1271.98530898377 -1267.10217384264 -1305.88005578778 NA NA NA NA
"elbo" -1056.47421394469 -1273.68984511834 -1268.91458431537 -1307.66117310607 NA NA NA NA
"elbo" -1052.38810964069 -1273.96271675311 -1268.95148506647 -1311.4889951795 NA NA NA NA
"elbo" -1052.5565721127 -1279.03927099423 -1273.93006625821 -1317.32155296588 NA NA NA NA
"elbo" -1051.99552744828 -1270.71305756174 -1265.66696659959 -1307.3090368965 NA NA NA NA
"elbo" -1054.95851482558 -1270.11372222127 -1265.21015406551 -1304.00049152838 NA NA NA NA
"elbo" -1054.67628167606 -1278.81237530224 -1273.60861814117 -1320.55146063388 NA NA NA NA
"elbo" -1048.38706259066 -1258.79736195609 -1254.45463865889 -1287.7686139433 NA NA NA NA
"elbo" -1050.95341174033 -1273.6367833033 -1268.44754431084 -1313.52529516549 NA NA NA NA
"elbo" -1034.03753101065 -1254.72249027318 -1249.61909241867 -1295.91075546122 NA NA NA NA
"elbot" -635.47271104512 -658.859157729481 -658.851967752302 -658.864752235772 NA NA NA NA
"elbot" -632.740932539995 -656.231558912372 -656.216547874851 -656.252785127951 NA NA NA NA
"elbot" -635.859383631295 -658.210906508289 -658.207470452967 -658.154253473332 NA NA NA NA
"elbot" -637.68985103987 -659.781309906565 -659.75903780065 -659.955790313497 NA NA NA NA
"elbot" -635.198007164721 -657.990191327936 -657.982261155736 -657.974456857316 NA NA NA NA
"elbot" -635.668307137206 -658.671009446191 -658.667678246425 -658.64914124314 NA NA NA NA
"elbot" -636.486496903493 -658.136087322882 -658.126903419809 -658.036399870575 NA NA NA NA
"elbot" -637.472422543922 -661.552063055566 -661.537956162501 -661.543799602285 NA NA NA NA
"elbot" -636.583114684522 -658.494903250267 -658.492272502411 -658.403128886978 NA NA NA NA
"elbot" -639.110105814735 -660.525099292671 -660.515169091216 -660.351423908762 NA NA NA NA
"lpml" 2795.39255840494 3286.84945806591 3292.15724403328 3248.84672786197 NA NA NA NA
"lpml" 2777.6911111997 3340.02741339535 3343.1152127091 3300.39671563507 NA NA NA NA
"lpml" 2431.2739764713 2986.48263211459 2991.99045525327 2934.77202178354 NA NA NA NA
"lpml" 2616.97979033637 3110.0629909389 3115.69015885392 3053.09416355722 NA NA NA NA
"lpml" 2785.07632108127 3376.4721429514 3381.55595826129 3354.271536522 NA NA NA NA
"lpml" 2845.50724770903 3336.60906929205 3342.38628076834 3319.89979041043 NA NA NA NA
"lpml" 2754.49633360705 3372.3947724293 3376.44276324779 3350.57488258328 NA NA NA NA
"lpml" 2330.88324923136 2758.5596920835 2765.32013700128 2732.51877168044 NA NA NA NA
"lpml" 2917.90288778177 3477.77392077011 3482.89647769666 3470.45774889372 NA NA NA NA
"lpml" 2830.64053858807 3485.15011944553 3486.68810963469 3475.95970571896 NA NA NA NA
