"set1.cram.enig" "set1.cram.studentst" "set1.corbest.enig" "set1.corbest.studentst" "set1.msebest.enig" "set1.msebest.studentst" "set1.cover.enig" "set1.cover.studentst" "set2.cram.enig" "set2.cram.studentst" "set2.corbest.enig" "set2.corbest.studentst" "set2.msebest.enig" "set2.msebest.studentst" "set2.cover.enig" "set2.cover.studentst" "set3.cram.enig" "set3.cram.studentst" "set3.corbest.enig" "set3.corbest.studentst" "set3.msebest.enig" "set3.msebest.studentst" "set3.cover.enig" "set3.cover.studentst" "set4.cram.enig" "set4.cram.studentst" "set4.corbest.enig" "set4.corbest.studentst" "set4.msebest.enig" "set4.msebest.studentst" "set4.cover.enig" "set4.cover.studentst" "set5.cram.enig" "set5.cram.studentst" "set5.corbest.enig" "set5.corbest.studentst" "set5.msebest.enig" "set5.msebest.studentst" "set5.cover.enig" "set5.cover.studentst" "set6.cram.enig" "set6.cram.studentst" "set6.corbest.enig" "set6.corbest.studentst" "set6.msebest.enig" "set6.msebest.studentst" "set6.cover.enig" "set6.cover.studentst"
"rep1" 1177.77282343947 1176.30902914877 0.707449277482528 0.694497209618382 1.16680811003062 1.16939466775587 0.0995024875621891 0.0995024875621891 1174.42241215721 1176.80794581391 0.704713621603661 0.697750837714605 1.16585126057702 1.16744124905977 0.0945273631840796 0.104477611940299 1177.68022073403 1176.74728857034 0.706863487492836 0.699293298385937 1.16484824822158 1.16643230412101 0.0995024875621891 0.104477611940299 1174.76057485192 1174.90673414154 0.715204159925111 0.698602070257328 1.16345194645809 1.16898201589227 0.104477611940299 0.0945273631840796 1176.77358726793 1176.2851340359 0.714497353882277 0.699367874423048 1.16138605278899 1.16772218508779 0.104477611940299 0.0945273631840796 1171.33888906209 1171.85569951133 0.712667510069189 0.701666006819568 1.16100521037464 1.16654078891436 0.104477611940299 0.104477611940299
"rep2" 1265.94728488724 1271.28116545419 0.711044860843001 0.707984626784654 1.02490342576441 1.02532437297356 0.0796019900497512 0.0746268656716418 1264.85049207531 1270.02339507577 0.710616439614876 0.703619597615309 1.02364367833474 1.0243675426375 0.0845771144278607 0.0845771144278607 1264.73952048909 1268.75791680321 0.706479001497718 0.706768626149076 1.02327176654037 1.02340601760588 0.0845771144278607 0.0845771144278607 1260.48555655431 1269.11803995481 0.706954693413757 0.707004278428688 1.02437771391755 1.02636895540277 0.0796019900497512 0.0796019900497512 1258.00259530852 1271.56088336104 0.705593031054535 0.699911116201196 1.0228184190896 1.02505794283857 0.0796019900497512 0.0845771144278607 1258.37337931319 1268.04523193275 0.706636974240569 0.705887918741392 1.02171162395251 1.02397429426783 0.0796019900497512 0.0796019900497512
"rep3" 1184.3918518914 1185.29246370719 0.705766764283686 0.71839944040924 0.967050544482431 0.966064417719301 0.104477611940299 0.104477611940299 1182.54567162269 1188.30471087837 0.711608309189742 0.717483929747312 0.964980994530192 0.964735138039726 0.104477611940299 0.104477611940299 1181.30036302688 1182.35003662139 0.707407639791243 0.722719802603147 0.964904924466157 0.963408406643234 0.104477611940299 0.104477611940299 1188.33164097272 1184.4795190222 0.656545738463597 0.713432772691625 0.970234981047732 0.967428861178999 0.104477611940299 0.104477611940299 1192.36116933984 1182.12946814228 0.658826140981013 0.716981942027515 0.968414782322277 0.96528189146534 0.104477611940299 0.109452736318408 1194.49469319942 1184.20067361299 0.652915300754688 0.716162279149661 0.968096954167797 0.96408474688903 0.0995024875621891 0.109452736318408
"rep4" 1303.0639197564 1303.83685447982 0.737006434120832 0.742131951000582 0.89110842291958 0.891250656065944 0.0696517412935323 0.0696517412935323 1302.39103227559 1302.06194699759 0.740497855404953 0.742593147779353 0.890039893126142 0.890176806331338 0.0696517412935323 0.0696517412935323 1301.97425155282 1301.21694638224 0.739201590345088 0.742936676633393 0.889754773772453 0.88971051630009 0.0696517412935323 0.0696517412935323 1301.09864963158 1303.83856519708 0.720584248839476 0.742204621680055 0.891129511224295 0.8910539222458 0.0646766169154229 0.0696517412935323 1301.92343908381 1302.34659926768 0.720954374271778 0.741360925152846 0.890131937102406 0.890345556698411 0.0646766169154229 0.0746268656716418 1301.23633468654 1302.75392596297 0.722352177020182 0.739653853605444 0.889669866268308 0.890012326093759 0.0646766169154229 0.0696517412935323
"rep5" 1170.44028016085 1169.78678718041 0.57661377966218 0.603639177434734 0.967826718871624 0.96489002399751 0.0945273631840796 0.104477611940299 1168.80210548481 1169.07621226281 0.577281161496893 0.608136168272044 0.966485651160629 0.96314397070689 0.104477611940299 0.104477611940299 1166.52483413771 1167.00417025113 0.584066741974301 0.602213385857268 0.964856619857914 0.963001477887255 0.0995024875621891 0.109452736318408 1183.59948603713 1172.49741609553 0.503029112256064 0.594819132258703 0.974697468817932 0.966112682191062 0.0995024875621891 0.0995024875621891 1180.68628186407 1161.00153065695 0.501617827227792 0.607888443380975 0.973814293514042 0.963629764579136 0.0995024875621891 0.114427860696517 1182.01394056875 1168.89609761631 0.50813553744759 0.604408845230602 0.972387352734832 0.962768387436762 0.104477611940299 0.0995024875621891
"rep6" 1123.93184196703 1127.42774905627 0.70144191014107 0.705628835285283 0.875333829070188 0.875463547232182 0.119402985074627 0.124378109452736 1125.99284286042 1123.61406170892 0.702029835367398 0.709818669445761 0.873442633887691 0.872971682381909 0.129353233830846 0.129353233830846 1119.74670081482 1125.43023531535 0.698088058708294 0.70476078748447 0.873045181969974 0.872557348254694 0.124378109452736 0.129353233830846 1120.66768287555 1124.93294328343 0.669410053016858 0.706774455890432 0.877433082188908 0.875197730004792 0.124378109452736 0.119402985074627 1121.04852469787 1124.72201292137 0.666138085874235 0.708249132019849 0.875973779756792 0.874165793921957 0.134328358208955 0.119402985074627 1119.35144267206 1127.05247261417 0.668593062235713 0.707726718210763 0.874283160804141 0.872091183577952 0.119402985074627 0.124378109452736
"rep7" 1175.41541412806 1175.15009390645 0.74327636868663 0.756361193725466 0.870909401211674 0.869787853040637 0.0895522388059701 0.0945273631840796 1173.47786678597 1175.55922892402 0.744015486315093 0.757028320893711 0.869265802977838 0.868032670537821 0.0845771144278607 0.0895522388059701 1176.47424780944 1173.0882792761 0.749930727795044 0.754367795206605 0.867841582199397 0.867680092454092 0.0845771144278607 0.0895522388059701 1177.39991668428 1174.57356490945 0.709609967049987 0.751352026918911 0.87257625185543 0.871002451977066 0.0796019900497512 0.0895522388059701 1178.80210625561 1176.41553017619 0.710569067205744 0.754654050297409 0.870714928112614 0.868510017806632 0.0796019900497512 0.0845771144278607 1177.17889538676 1174.28659344351 0.705874065170104 0.755189244482615 0.870936722508173 0.867947933529861 0.0746268656716418 0.0895522388059701
"rep8" 1162.48235036412 1164.87661937434 0.654146949785703 0.674457043311805 0.861489365478997 0.859377119678667 0.114427860696517 0.109452736318408 1161.31945948866 1161.62135038798 0.653571867287497 0.671617862079397 0.860377002299389 0.858393108809817 0.109452736318408 0.119402985074627 1160.32628195606 1164.21704361491 0.656188820767244 0.672496488330512 0.859380639639749 0.857583530544809 0.104477611940299 0.109452736318408 1167.31215988521 1164.38951442127 0.590868781770314 0.675835488198425 0.867114513167783 0.859564705684045 0.114427860696517 0.104477611940299 1165.90964923067 1161.61032387176 0.601306476018896 0.673689135398625 0.86452864916959 0.85845216958155 0.119402985074627 0.114427860696517 1163.14296084818 1162.98998124024 0.598244678417445 0.668362447890428 0.864409337352783 0.858384153412022 0.124378109452736 0.109452736318408
"rep9" 1271.47858615374 1274.25927311431 0.655585481486045 0.660730949954134 1.01533165005842 1.0150793097911 0.0796019900497512 0.0796019900497512 1274.34513881918 1272.42098536933 0.655006388117955 0.659778628313111 1.01437023654596 1.0143277206952 0.0796019900497512 0.0746268656716418 1271.37307752652 1274.43620968099 0.65608774520013 0.657692953044814 1.01387157926962 1.0139441413493 0.0796019900497512 0.0746268656716418 1274.56139562709 1438.29528422151 0.631697540586664 0.524474851933143 1.01588473238008 1.01299046260674 0.0746268656716418 0.00497512437810945 1277.09273368559 1272.57528552432 0.623244464042071 0.658842762754577 1.01516849279591 1.01444524069341 0.0646766169154229 0.0796019900497512 1276.34470953648 1272.85449226889 0.633611872939731 0.661220598700769 1.01399561919475 1.01376773518806 0.0696517412935323 0.0746268656716418
"rep10" 1149.2609593373 1153.95951064543 0.75775951511592 0.761082373253372 1.00054570492904 0.999832609566985 0.0746268656716418 0.0796019900497512 1152.85503294233 1147.11622488199 0.756351616587891 0.759673393257302 0.998835964029867 0.999233298003344 0.0796019900497512 0.0796019900497512 1148.25761424293 1151.39794490259 0.758046248126798 0.754618157164745 0.997757292995841 0.9987665599733 0.0746268656716418 0.0796019900497512 1146.07687838318 1149.15584603152 0.742635542988129 0.760079697012881 1.00028475489136 1.00161972754716 0.0696517412935323 0.0796019900497512 1150.04418993623 1151.99966512268 0.734369827574211 0.757611319768866 0.998805506658806 0.999644922356269 0.0796019900497512 0.0796019900497512 1151.91493564552 1155.83525787073 0.738819810051342 0.762066440213727 0.99698129016512 0.997844290243057 0.0746268656716418 0.0796019900497512
