"alpha1" "alpha2" "alpha3" "alpha4" "alpha5" "lambda1" "lambda2" "lambda3" "lambda4" "lambda5" "lambda6" "lambda7" "lambda8" "lambda9" "lambda10"
"rep1" 0.0169204857504525 0.094642695409974 0.466961140140776 2.23341059252833 2.4087061840288 1.98661026745575 4.49729948443416 0.268562644794636 1.06027187704194 0.810007677313391 0.925463361192285 0.288964428854671 0.216211251505755 0.534452531722975 2.66489631820068
"rep2" 0.00289314235912008 0.0560776837226826 0.172186275605502 0.577403272624405 7.30588813425999 1.3500129598713 0.471191023257381 1.66022791125799 0.653025320881523 0.981359865020031 0.47553284654188 1.79133462680315 0.951646818154509 2.07901042474166 3.64426157796216
"rep3" 0.00988506308681951 0.160554211011366 0.472625469640751 1.52784819523177 3.43604981557791 0.177985792509671 2.00968854159006 0.963337782465165 2.01747327793973 1.97286341253408 1.04314044636901 0.480871771403986 0.948007157482523 0.392671654853363 4.27902499953916
"rep4" 0.042832199456253 0.132933326090798 0.456405935924405 1.55076427957985 4.44214066114706 0.670392212518005 3.69941857312059 0.956797688648432 4.60807359565789 7.2767033424074 1.45564238174676 0.932984961677757 1.67833768892929 1.00010667193461 0.557015697099334
"rep5" 0.0782942222732618 0.243182860065718 0.748553742514107 1.84660130723391 3.55009376299335 1.19745623540034 0.446787468564511 5.16988147365242 3.44628716275757 5.2200187195652 1.33842277942253 1.16239612938626 17.0918556566583 0.452125126286507 0.43544495838834
"rep6" 0.0290810041646041 0.0992570869354962 0.397775194002262 1.97173283912342 3.23197305729682 1.24208958084293 0.206070424665787 2.67989157689867 0.203029237147302 2.04120710538404 0.123979826286471 4.43527587666518 2.57656530706688 0.47157391497181 3.26962785013048
"rep7" 0.0096519376283742 0.131603167904843 0.313164512399895 0.602278925445481 5.14420095161507 0.644159470470328 1.02173720191776 6.13363515842519 1.02450071246007 0.603204278001434 2.38369451703136 0.839896877355696 2.03688160792836 0.259719838321049 0.812742972687549
"rep8" 0.0455272584389786 0.287502879156531 0.445212604399107 2.16060030860022 3.27477413743297 6.58718209547277 0.414417789602207 5.91482726170444 3.90498596957034 1.73441132660386 0.635412929790343 0.994028533275095 0.775267163625078 0.454818998519993 2.22996822227548
"rep9" 0.0448087017552948 0.166223973874151 0.628657285070774 0.478320766833243 3.75199089828733 1.51659578344615 1.40225680894627 0.34651088970973 2.00834257556273 0.190168372268055 3.03785467828419 0.593921646210763 1.84481841848362 0.146152535860725 1.35121960021839
"rep10" 0.140580004622601 0.262786114523753 1.2210071736085 1.14083508160135 2.6305682941055 0.314879062087043 12.8727750753576 1.21120261322472 1.65029954252984 0.826163254373392 6.21996884974753 5.28419517141401 0.229521475538688 0.258328377177078 0.97700319093157
