"nreps" "n" "p" "D" "nclass" "alpha" "C..Intercept." "C.factor.rep.c.1.nclass...each...D.nclass..2" "C.factor.rep.c.1.nclass...each...D.nclass..3" "C.factor.rep.c.1.nclass...each...D.nclass..4" "C.factor.rep.c.1.nclass...each...D.nclass..5" "theta" "gamma" "sigma" "SNR"
"1" 100 100 200 100 5 1 1 0 0 0 0 1 1 1 10
"2" 100 100 200 100 5 2 1 0 0 0 0 1 1 1 10
"3" 100 100 200 100 5 3 1 0 0 0 0 1 1 1 10
"4" 100 100 200 100 5 4 1 0 0 0 0 1 1 1 10
"5" 100 100 200 100 5 5 1 0 0 0 0 1 1 1 10
"6" 100 100 200 100 5 1 1 0 0 0 0 1 1 1 10
"7" 100 100 200 100 5 2 1 0 0 0 0 1 1 1 10
"8" 100 100 200 100 5 3 1 0 0 0 0 1 1 1 10
"9" 100 100 200 100 5 4 1 0 0 0 0 1 1 1 10
"10" 100 100 200 100 5 5 1 0 0 0 0 1 1 1 10
"11" 100 100 200 100 5 1 1 0 0 0 0 1 1 1 10
"12" 100 100 200 100 5 2 1 0 0 0 0 1 1 1 10
"13" 100 100 200 100 5 3 1 0 0 0 0 1 1 1 10
"14" 100 100 200 100 5 4 1 0 0 0 0 1 1 1 10
"15" 100 100 200 100 5 5 1 0 0 0 0 1 1 1 10
"16" 100 100 200 100 5 1 1 0 0 0 0 1 1 1 10
"17" 100 100 200 100 5 2 1 0 0 0 0 1 1 1 10
"18" 100 100 200 100 5 3 1 0 0 0 0 1 1 1 10
"19" 100 100 200 100 5 4 1 0 0 0 0 1 1 1 10
"20" 100 100 200 100 5 5 1 0 0 0 0 1 1 1 10
"21" 100 100 200 100 5 1 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"22" 100 100 200 100 5 2 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"23" 100 100 200 100 5 3 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"24" 100 100 200 100 5 4 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"25" 100 100 200 100 5 5 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"26" 100 100 200 100 5 1 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"27" 100 100 200 100 5 2 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"28" 100 100 200 100 5 3 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"29" 100 100 200 100 5 4 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"30" 100 100 200 100 5 5 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"31" 100 100 200 100 5 1 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"32" 100 100 200 100 5 2 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"33" 100 100 200 100 5 3 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"34" 100 100 200 100 5 4 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"35" 100 100 200 100 5 5 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"36" 100 100 200 100 5 1 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"37" 100 100 200 100 5 2 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"38" 100 100 200 100 5 3 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"39" 100 100 200 100 5 4 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"40" 100 100 200 100 5 5 1 1 0 0 0 0.333333333333333 0.577350269189626 1 10
"41" 100 100 200 100 5 1 1 0 1 0 0 0.25 0.5 1 10
"42" 100 100 200 100 5 2 1 0 1 0 0 0.25 0.5 1 10
"43" 100 100 200 100 5 3 1 0 1 0 0 0.25 0.5 1 10
"44" 100 100 200 100 5 4 1 0 1 0 0 0.25 0.5 1 10
"45" 100 100 200 100 5 5 1 0 1 0 0 0.25 0.5 1 10
