"nreps" "n" "p" "D" "gamma" "sigma" "r" "nu" "kappa" "lambdac" "thetac" "lambdaz" "thetaz" "eta" "lambda" "vars" "kurts"
"set1" 100 100 30 1 1 1 0.01 1 1 1.5 0.5 4.21685983186054 0.652839080148331 10 4 0.5 4
"set2" 100 100 30 1 1 1 0.01 1 1 3 1 2.06041396078943 0.652839080148331 10 8 1 4
"set3" 100 100 30 1 1 1 0.01 1 1 6 2 1.56856290194297 0.652839080148331 10 16 2 4
"set4" 100 100 30 1 1 1 0.01 1 1 0.214285714285714 0.5 0.278629901603744 0.192615158668444 4.85714285714286 1.42857142857143 0.5 10
"set5" 100 100 30 1 1 1 0.01 1 1 0.428571428571429 1 0.250476621142711 0.192615158668444 4.85714285714286 2.85714285714286 1 10
"set6" 100 100 30 1 1 1 0.01 1 1 0.857142857142857 2 0.237624849694947 0.192615158668444 4.85714285714286 5.71428571428571 2 10
"set7" 100 100 30 1 1 1 0.01 1 9 1.5 0.5 4.21685983186054 0.652839080148331 10 4 0.5 4
"set8" 100 100 30 1 1 1 0.01 1 9 3 1 2.06041396078943 0.652839080148331 10 8 1 4
"set9" 100 100 30 1 1 1 0.01 1 9 6 2 1.56856290194297 0.652839080148331 10 16 2 4
"set10" 100 100 30 1 1 1 0.01 1 9 0.214285714285714 0.5 0.278629901603744 0.192615158668444 4.85714285714286 1.42857142857143 0.5 10
"set11" 100 100 30 1 1 1 0.01 1 9 0.428571428571429 1 0.250476621142711 0.192615158668444 4.85714285714286 2.85714285714286 1 10
"set12" 100 100 30 1 1 1 0.01 1 9 0.857142857142857 2 0.237624849694947 0.192615158668444 4.85714285714286 5.71428571428571 2 10
