"set1.enig.alpha1" "set1.enig.alpha2" "set1.enig.alpha3" "set1.enig.alpha4" "set1.enig.lambda"
"rep1" 1.67817504407341 3.17965307427646 4.55017331614351 5.93815741602339 0.706966235075447
"rep2" 2.39726823795173 3.61423239446907 5.48515154018388 7.41364512912857 0.534472899982493
"rep3" 1.65178653303843 2.77173543890281 4.37366829096974 6.0747243419327 0.778252059348952
"rep4" 2.1985936596248 3.87541420918485 5.72463884960992 7.39848855764516 0.571390686311768
"rep5" 2.12955597597619 3.68358119127458 5.13721279692496 6.66759014174787 0.715936564186179
"rep6" 2.09075881848742 3.61739845924108 5.40471992956746 6.67878588681002 0.650111325379455
"rep7" 1.84723160997982 3.19779089796672 4.71806368253538 6.16229826254806 0.655464374273984
"rep8" 1.9909369321725 3.21948628463443 4.99297228611504 6.73145821860925 0.757337476942458
"rep9" 2.25297276318378 4.63608548102742 5.82112001596226 7.46439664365204 0.623513314392551
"rep10" 1.84555590387352 3.42402832743775 4.28926377903314 6.05995516626436 0.700213892639488
"rep11" 2.16474661039487 3.56299163508447 5.26118346138627 7.04808690306991 0.661671595144096
"rep12" 1.97282948325749 3.7329733742684 5.01763013413047 6.5968946413573 0.616443852512523
"rep13" 1.63417976805224 2.52945719622556 4.014531118151 4.99705284324888 0.830157411058835
"rep14" 1.98653703242593 3.64386169090534 5.01337337043862 6.74860668973383 0.715738460826252
"rep15" 1.96741167150777 3.42021230626034 4.96333657024182 6.4205229874295 0.612586934951069
"rep16" 1.76137899768158 2.96079154741466 4.80609898162656 5.69748552303351 0.822009175719593
"rep17" 1.96783585420128 3.75327943782941 5.53807271011158 6.84778749486512 0.598906015706843
"rep18" 2.21159506899243 4.02697679466553 5.78781680935809 7.67769822836207 0.603165739111087
"rep19" 2.01011201924332 3.30848501640469 5.36625170717356 6.99294376026358 0.662119327860751
"rep20" 2.2586968970876 4.11797785311383 5.96236435208813 7.35114189149296 0.526632827174128
"rep21" 2.24523947347 4.19813678403553 5.1930259303747 7.37756374680914 0.565061504666209
"rep22" 2.08163406207551 3.40209484380914 4.9781323897244 6.91322165330252 0.616637184279261
"rep23" 2.11235731135026 3.81784895348945 5.51141612607429 6.58607702051901 0.67191686207771
"rep24" 2.36980223920407 3.99380006614627 6.01985173154468 8.24627936874738 0.51425871536581
"rep25" 2.06831164903682 3.40543233830318 5.22843619863261 6.1724420090382 0.776872220823634
"rep26" 2.11896394180895 3.16151455673756 4.96543216123101 6.7091978428554 0.669677507520382
"rep27" 2.15736337251242 3.21914991232704 4.68372940627521 6.12976933896693 0.649559070837121
"rep28" 2.02986579335258 3.04126676813999 4.56809506598618 6.09249749074236 0.709783359703604
"rep29" 1.93172062135366 3.22557219418199 4.77930035300638 6.22282077043846 0.758631802806719
"rep30" 1.9480060237105 3.53550230742839 4.2354504968806 5.76122557590342 0.799441390030433
"rep31" 1.90942552487521 2.89137826803299 4.7583433781135 5.63991435662194 0.733848061309885
"rep32" 2.15130030510838 3.33304428103949 5.46998350678179 7.15677807085405 0.647961325221942
"rep33" NA NA NA NA NA
"rep34" NA NA NA NA NA
"rep35" NA NA NA NA NA
"rep36" NA NA NA NA NA
"rep37" NA NA NA NA NA
"rep38" NA NA NA NA NA
"rep39" NA NA NA NA NA
"rep40" NA NA NA NA NA
"rep41" NA NA NA NA NA
"rep42" NA NA NA NA NA
"rep43" NA NA NA NA NA
"rep44" NA NA NA NA NA
"rep45" NA NA NA NA NA
"rep46" NA NA NA NA NA
"rep47" NA NA NA NA NA
"rep48" NA NA NA NA NA
"rep49" NA NA NA NA NA
"rep50" NA NA NA NA NA
"rep51" NA NA NA NA NA
"rep52" NA NA NA NA NA
"rep53" NA NA NA NA NA
"rep54" NA NA NA NA NA
"rep55" NA NA NA NA NA
"rep56" NA NA NA NA NA
"rep57" NA NA NA NA NA
"rep58" NA NA NA NA NA
"rep59" NA NA NA NA NA
"rep60" NA NA NA NA NA
"rep61" NA NA NA NA NA
"rep62" NA NA NA NA NA
"rep63" NA NA NA NA NA
"rep64" NA NA NA NA NA
"rep65" NA NA NA NA NA
"rep66" NA NA NA NA NA
"rep67" NA NA NA NA NA
"rep68" NA NA NA NA NA
"rep69" NA NA NA NA NA
"rep70" NA NA NA NA NA
"rep71" NA NA NA NA NA
"rep72" NA NA NA NA NA
"rep73" NA NA NA NA NA
"rep74" NA NA NA NA NA
"rep75" NA NA NA NA NA
"rep76" NA NA NA NA NA
"rep77" NA NA NA NA NA
"rep78" NA NA NA NA NA
"rep79" NA NA NA NA NA
"rep80" NA NA NA NA NA
"rep81" NA NA NA NA NA
"rep82" NA NA NA NA NA
"rep83" NA NA NA NA NA
"rep84" NA NA NA NA NA
"rep85" NA NA NA NA NA
"rep86" NA NA NA NA NA
"rep87" NA NA NA NA NA
"rep88" NA NA NA NA NA
"rep89" NA NA NA NA NA
"rep90" NA NA NA NA NA
"rep91" NA NA NA NA NA
"rep92" NA NA NA NA NA
"rep93" NA NA NA NA NA
"rep94" NA NA NA NA NA
"rep95" NA NA NA NA NA
"rep96" NA NA NA NA NA
"rep97" NA NA NA NA NA
"rep98" NA NA NA NA NA
"rep99" NA NA NA NA NA
"rep100" NA NA NA NA NA
